提出者名,提出者業種,経常利益率5,経常利益5,売上高5,new_vector,recommend
株式会社アイ・アールジャパンホールディングス,サービス業,0.4913749909319384,4070831,8284571,"[0.4913749909319384, 1.2, 1.5]",[  0  80 191  95 112]
株式会社リニカル,サービス業,0.05726393804100158,588634,10279314,"[0.05726393804100158, 1.2, 1.5]",[  1  40 187 219 147]
日本空調サービス株式会社,サービス業,0.06392415364583333,3142,49152,"[0.06392415364583333, 1.2, 1.5]",[ 89   2 216  85  57]
株式会社ケア２１,サービス業,0.03300720535510699,1121727,33984307,"[0.03300720535510699, 1.2, 1.5]",[ 48   3 193  23 137]
株式会社ロイヤルホテル,サービス業,-0.0297352602634608,-465,15638,"[-0.0297352602634608, 1.2, 1.5]",[  4 206 150  58 234]
大松産業株式会社,サービス業,0.012557051292613402,7621,606910,"[0.012557051292613402, 1.2, 1.5]",[  5 154  90 195  16]
株式会社リンクアンドモチベーション,サービス業,0.7409638554216867,1353,1826,"[0.7409638554216867, 1.2, 1.5]",[  6 235  26 152 146]
セコム上信越株式会社,サービス業,0.19133292257136988,4658,24345,"[0.19133292257136988, 1.2, 1.5]",[  7  31 181 179 200]
株式会社建設技術研究所,サービス業,0.08001227182083141,5216,65190,"[0.08001227182083141, 1.2, 1.5]",[225  47   8 223 244]
株式会社スペース,サービス業,0.0702752785088052,3264890,46458585,"[0.0702752785088052, 1.2, 1.5]",[  9  88 159  96 226]
株式会社スペース,サービス業,0.0724583627588584,3677027,50746758,"[0.0724583627588584, 1.2, 1.5]",[ 10 226 125  55  88]
株式会社スペース,サービス業,0.06824189834564952,3360482,49243677,"[0.06824189834564952, 1.2, 1.5]",[105  11 132 192 173]
株式会社スペース,サービス業,0.03462183854497372,1385846,40028088,"[0.03462183854497372, 1.2, 1.5]",[ 12 153 188 199 137]
株式会社スペース,サービス業,0.06291222026478326,3155119,50151131,"[0.06291222026478326, 1.2, 1.5]",[ 13  85 220  57 216]
株式会社テノ．ホールディングス,サービス業,0.05510084554939651,593927,10778909,"[0.05510084554939651, 1.2, 1.5]",[ 36  14 248  84 147]
